Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI
2001-08-08,35,50,11.0,8.0
2001-08-09,23,51,0.0,6.0
2001-08-10,24,31,30.0,6.0
2001-08-11,20,46,21.0,7.0
2001-08-12,42,80,44.0,8.0
2001-08-13,38,41,6.0,9.0
2001-08-14,43,37,33.0,7.0
2001-08-15,43,93,59.0,8.0
2001-08-16,29,31,1.0,6.0
2001-08-17,34,38,7.0,7.0
2001-08-18,22,51,4.0,7.0
2001-08-19,38,36,3.0,6.0
2001-08-20,35,51,77.0,7.0
2001-08-21,18,77,33.0,5.0
2001-08-22,10,47,30.0,5.0
2001-08-23,33,26,34.0,8.0
2001-08-24,40,22,24.0,9.0
2001-08-25,26,38,17.0,8.0
2001-08-26,34,31,4.0,8.0
2001-08-27,45,74,40.0,9.0
2001-08-28,38,40,7.0,9.0
2001-08-29,42,77,31.0,8.0
2001-08-30,26,51,26.0,8.0
2001-08-31,31,24,4.0,7.0
2001-09-01,36,42,20.0,7.0
2001-09-02,39,58,26.0,7.0
2001-09-03,42,64,13.0,8.0
2001-09-04,35,48,34.0,9.0
2001-09-05,37,42,20.0,8.0
2001-09-06,23,38,19.0,8.0
2001-09-07,19,33,24.0,5.0
2001-09-08,24,43,14.0,5.0
2001-09-09,19,22,4.0,7.0
2001-09-10,42,35,0.0,9.0
2001-09-11,52,42,49.0,11.0
2001-09-12,62,84,11.0,13.0
2001-09-13,49,67,27.0,16.0
2001-09-14,30,22,17.0,5.0
2001-09-15,42,33,19.0,7.0
2001-09-16,48,46,17.0,9.0
2001-09-17,41,42,11.0,10.0
2001-09-18,26,23,14.0,8.0
2001-09-19,27,30,0.0,8.0
2001-09-20,27,38,13.0,9.0
2001-09-21,28,34,1.0,7.0
2001-09-22,42,41,27.0,9.0
2001-09-23,29,33,26.0,10.0
2001-09-24,20,20,4.0,5.0
2001-09-25,30,25,4.0,7.0
2001-09-26,35,33,0.0,8.0
2001-09-27,42,35,6.0,10.0
2001-09-28,25,19,24.0,10.0
2001-09-29,34,24,10.0,15.0
2001-09-30,38,35,20.0,16.0
2001-10-01,35,40,6.0,13.0
2001-10-02,34,61,72.0,8.0
2001-10-03,17,54,4.0,7.0
2001-10-04,25,54,20.0,6.0
2001-10-05,22,14,17.0,8.0
2001-10-06,25,19,1.0,13.0
2001-10-07,30,34,60.0,13.0
2001-10-08,25,36,7.0,6.0
2001-10-09,28,37,24.0,7.0
2001-10-10,18,24,11.0,8.0
2001-10-11,22,10,21.0,10.0
2001-10-12,25,9,23.0,11.0
2001-10-13,17,19,9.0,10.0
2001-10-14,18,25,1.0,7.0
2001-10-15,33,19,17.0,15.0
2001-10-16,21,15,1.0,8.0
2001-10-17,30,20,33.0,13.0
2001-10-18,28,31,41.0,3.0
2001-10-19,37,22,7.0,15.0
2001-10-20,41,38,21.0,16.0
2001-10-21,34,34,16.0,10.0
2001-10-22,35,31,23.0,7.0
2001-10-23,27,24,41.0,5.0
2001-10-24,18,19,19.0,7.0
2001-10-25,13,26,1.0,3.0
2001-10-26,17,22,1.0,6.0
2001-10-27,27,19,3.0,16.0
2001-10-28,26,21,17.0,18.0
2001-10-29,36,25,11.0,6.0
2001-10-30,34,30,34.0,8.0
2001-10-31,38,42,24.0,7.0
2002-03-31,35,0,13.0,9.0
2002-04-01,32,38,19.0,11.0
2002-04-02,20,37,6.0,7.0
2002-04-03,35,26,7.0,7.0
2002-04-04,39,30,13.0,7.0
2002-04-05,47,35,19.0,7.0
2002-04-06,34,36,17.0,7.0
2002-04-07,30,41,4.0,6.0
2002-04-10,25,36,13.0,8.0
2002-04-11,33,47,23.0,10.0
2002-04-12,28,29,13.0,8.0
2002-04-13,40,24,14.0,11.0
2002-04-14,34,47,23.0,11.0
2002-04-15,22,44,33.0,8.0
2002-04-16,10,39,17.0,7.0
2002-04-17,14,43,13.0,7.0
2002-04-18,27,35,6.0,9.0
2002-04-19,25,36,14.0,10.0
2002-04-20,19,16,6.0,9.0
2002-04-21,12,24,6.0,8.0
2002-04-22,29,30,9.0,8.0
2002-04-23,19,40,17.0,8.0
2002-04-24,18,31,7.0,8.0
2002-04-25,22,37,0.0,5.0
2002-04-26,33,28,16.0,5.0
2002-04-27,17,27,14.0,5.0
2002-04-28,17,29,1.0,5.0
2002-04-29,41,38,4.0,8.0
2002-04-30,34,42,31.0,9.0
2002-05-01,31,19,7.0,10.0
2002-05-02,34,31,0.0,8.0
2002-05-03,36,36,23.0,10.0
2002-05-04,44,48,16.0,9.0
2002-05-05,44,43,16.0,10.0
2002-05-06,24,27,13.0,7.0
2002-05-07,32,30,47.0,8.0
2002-05-08,14,32,7.0,7.0
2002-05-09,26,31,1.0,6.0
2002-05-10,27,39,16.0,7.0
2002-05-11,17,30,10.0,6.0
2002-05-12,11,26,6.0,7.0
2002-05-13,17,36,0.0,6.0
2002-05-14,38,42,1.0,10.0
2002-05-15,38,45,21.0,11.0
2002-05-16,27,28,10.0,11.0
2002-05-17,33,17,7.0,13.0
2002-05-18,35,32,10.0,9.0
2002-05-19,36,46,1.0,11.0
2002-05-20,28,39,9.0,10.0
2002-05-21,31,34,9.0,6.0
2002-05-22,17,49,6.0,6.0
2002-05-23,29,67,17.0,6.0
2002-05-24,34,25,9.0,10.0
2002-05-25,23,31,1.0,9.0
2002-05-26,40,50,16.0,9.0
2002-05-27,26,42,4.0,10.0
