id,Year,State_Code,NO2_AQI
15003,2014,15,40
15003,2015,15,29
16001,2009,16,50
16001,2010,16,52
16001,2011,16,33
17031,2000,17,97
17031,2001,17,81
17031,2002,17,82
17031,2003,17,94
17031,2004,17,80
17031,2005,17,85
17031,2006,17,82
17031,2007,17,86
17031,2008,17,77
17031,2009,17,107
17031,2010,17,78
17031,2011,17,78
17031,2012,17,55
17031,2013,17,42
17031,2014,17,54
17031,2015,17,41
17031,2016,17,37
17163,2001,17,64
17163,2002,17,64
17163,2003,17,105
17163,2004,17,58
17163,2005,17,58
17163,2006,17,50
17163,2007,17,56
17163,2008,17,60
17163,2009,17,52
17163,2010,17,46
17163,2011,17,42
17163,2012,17,71
17163,2013,17,66
17163,2014,17,49
17163,2015,17,44
17163,2016,17,37
18097,2000,18,58
18097,2001,18,57
18097,2002,18,72
18097,2003,18,62
18097,2004,18,66
18097,2005,18,54
18097,2006,18,44
18097,2007,18,54
18097,2008,18,57
18097,2009,18,45
18097,2010,18,51
18097,2011,18,53
18097,2012,18,46
18097,2013,18,46
18097,2014,18,54
18097,2015,18,56
18097,2016,18,54
19153,2007,19,42
19153,2008,19,51
19153,2009,19,48
19153,2010,19,50
19153,2011,19,43
19153,2012,19,47
19153,2013,19,41
19153,2014,19,44
19153,2015,19,39
19153,2016,19,32
19163,2006,19,29
19163,2007,19,38
19163,2008,19,38
19163,2009,19,32
19163,2010,19,34
19163,2011,19,43
19163,2012,19,37
19163,2013,19,44
19163,2014,19,42
19163,2015,19,47
19163,2016,19,33
20107,2000,20,27
20107,2001,20,27
20107,2002,20,25
20107,2003,20,35
20107,2004,20,31
20107,2005,20,37
20107,2006,20,26
20191,2000,20,33
20191,2001,20,31
20191,2002,20,33
20209,2000,20,74
20209,2001,20,71
20209,2002,20,68
20209,2003,20,70
20209,2004,20,103
20209,2005,20,103
20209,2006,20,65
20209,2007,20,61
20209,2008,20,64
20209,2009,20,60
20209,2010,20,76
20209,2011,20,57
20209,2012,20,61
20209,2013,20,56
20209,2014,20,77
20209,2015,20,55
20209,2016,20,42
21019,2000,21,64
21019,2001,21,64
21019,2002,21,52
21019,2003,21,44
21059,2000,21,61
21059,2001,21,49
21067,2000,21,56
21067,2001,21,62
21067,2002,21,69
21067,2003,21,54
21101,2000,21,71
21101,2001,21,70
21111,2000,21,58
21111,2001,21,57
21111,2002,21,40
21111,2013,21,48
21111,2014,21,45
21111,2015,21,42
21145,2000,21,62
21145,2001,21,48
22033,2000,22,94
22033,2001,22,73
22033,2002,22,71
22033,2003,22,87
22033,2004,22,100
22033,2005,22,79
22033,2006,22,111
22033,2007,22,71
22033,2008,22,71
22033,2009,22,56
22033,2010,22,67
22033,2011,22,57
22033,2012,22,61
22033,2013,22,70
22033,2014,22,55
22033,2015,22,66
22033,2016,22,80
22051,2005,22,60
22051,2006,22,62
23003,2006,23,33
23003,2007,23,33
23003,2008,23,25
23003,2009,23,31
23003,2010,23,25
23003,2011,23,35
23003,2012,23,31
23003,2013,23,25
23003,2014,23,25
23003,2015,23,26
23005,2008,23,42
23005,2009,23,62
23005,2010,23,50
23005,2011,23,46
23005,2012,23,46
23005,2013,23,74
23005,2014,23,41
23005,2015,23,83
23005,2016,23,44
