id,Year,State_Code,SO2_AQI
10003,2012,10,14.0
10003,2013,10,11.0
10003,2014,10,19.0
10003,2015,10,14.0
10003,2016,10,13.0
11001,2000,11,104.0
11001,2001,11,122.0
11001,2002,11,96.0
11001,2003,11,102.0
11001,2004,11,107.0
11001,2005,11,100.0
11001,2006,11,89.0
11001,2007,11,70.0
11001,2008,11,56.0
11001,2009,11,79.0
11001,2010,11,69.0
11001,2011,11,49.0
11001,2012,11,36.0
11001,2013,11,23.0
11001,2014,11,40.0
11001,2015,11,26.0
11001,2016,11,11.0
12057,2007,12,40.0
12057,2008,12,75.0
12095,2000,12,82.0
12095,2001,12,67.0
12095,2002,12,30.0
12095,2003,12,24.0
12095,2004,12,26.0
12095,2005,12,26.0
12095,2006,12,29.0
12095,2007,12,16.0
12095,2008,12,17.0
12095,2009,12,16.0
12095,2010,12,14.0
12095,2011,12,10.0
12095,2012,12,17.0
12095,2013,12,7.0
12095,2014,12,33.0
12095,2015,12,7.0
12095,2016,12,7.0
13089,2010,13,34.0
13089,2011,13,26.0
13089,2012,13,19.0
13089,2013,13,20.0
13089,2014,13,19.0
13089,2015,13,7.0
13089,2016,13,21.0
15003,2011,15,27.0
15003,2012,15,16.0
15003,2013,15,13.0
15003,2014,15,29.0
15003,2015,15,92.0
16001,2009,16,7.0
16001,2010,16,10.0
16001,2011,16,10.0
17031,2000,17,136.0
17031,2001,17,105.0
17031,2002,17,104.0
17031,2003,17,96.0
17031,2004,17,118.0
17031,2005,17,126.0
17031,2006,17,110.0
17031,2007,17,114.0
17031,2008,17,75.0
17031,2009,17,55.0
17031,2010,17,47.0
17031,2011,17,65.0
17031,2012,17,27.0
17031,2013,17,11.0
17031,2014,17,39.0
17031,2015,17,21.0
17031,2016,17,7.0
17163,2001,17,180.0
17163,2002,17,200.0
17163,2003,17,173.0
17163,2004,17,147.0
17163,2005,17,169.0
17163,2006,17,74.0
17163,2007,17,74.0
17163,2008,17,90.0
17163,2009,17,54.0
17163,2010,17,61.0
17163,2011,17,34.0
