id,Year,State_Code,O3_AQI
20107,2001,20,111
20107,2002,20,109
20107,2003,20,122
20107,2004,20,100
20107,2005,20,106
20107,2006,20,116
20191,2000,20,116
20191,2001,20,50
20191,2002,20,74
20209,2000,20,132
20209,2001,20,119
20209,2002,20,127
20209,2003,20,151
20209,2004,20,80
20209,2005,20,200
20209,2006,20,159
20209,2007,20,109
20209,2008,20,71
20209,2009,20,93
20209,2010,20,58
20209,2011,20,74
20209,2012,20,145
20209,2013,20,100
20209,2014,20,119
20209,2015,20,87
20209,2016,20,49
21019,2000,21,124
21019,2001,21,140
21019,2002,21,179
21019,2003,21,177
21059,2000,21,101
21059,2001,21,147
21067,2000,21,122
21067,2001,21,140
21067,2002,21,129
21067,2003,21,104
21101,2000,21,122
21101,2001,21,104
21111,2000,21,129
21111,2001,21,127
21111,2002,21,151
21111,2013,21,40
21111,2014,21,77
21111,2015,21,174
21145,2000,21,179
21145,2001,21,132
22033,2000,22,187
22033,2001,22,150
22033,2002,22,169
22033,2003,22,197
22033,2004,22,129
22033,2005,22,135
22033,2006,22,150
22033,2007,22,122
22033,2008,22,90
22033,2009,22,116
22033,2010,22,104
22033,2011,22,140
22033,2012,22,124
22033,2013,22,100
22033,2014,22,129
22033,2015,22,122
22033,2016,22,77
22051,2005,22,122
22051,2006,22,42
23003,2006,23,67
23003,2007,23,101
23003,2008,23,74
23003,2009,23,77
23003,2010,23,47
23003,2011,23,48
23003,2012,23,47
23003,2013,23,48
23003,2014,23,48
23003,2015,23,51
23005,2008,23,84
23005,2009,23,80
23005,2010,23,84
23005,2011,23,80
23005,2012,23,93
23005,2013,23,48
23005,2014,23,87
23005,2015,23,74
23005,2016,23,51
24005,2006,24,187
24005,2007,24,147
24005,2008,24,159
24005,2009,24,127
24005,2010,24,200
24005,2011,24,164
24005,2012,24,185
24005,2013,24,105
24005,2014,24,105
24005,2015,24,115
24005,2016,24,74
24023,2014,24,87
24023,2015,24,100
24023,2016,24,61
24033,2007,24,135
24033,2008,24,104
24033,2012,24,140
24033,2013,24,97
24033,2014,24,101
24033,2015,24,156
24033,2016,24,71
25025,2001,25,145
25025,2002,25,142
25025,2003,25,135
25025,2004,25,132
25025,2005,25,132
25025,2006,25,100
25025,2007,25,114
25025,2008,25,71
25025,2009,25,80
25025,2010,25,84
25025,2011,25,84
25025,2012,25,111
25025,2013,25,87
25025,2014,25,54
25025,2015,25,126
25025,2016,25,45
26081,2002,26,154
26081,2003,26,151
26081,2004,26,90
26081,2005,26,140
26081,2006,26,172
26081,2007,26,18
26163,2000,26,114
26163,2001,26,142
26163,2002,26,156
26163,2003,26,156
26163,2004,26,90
26163,2005,26,124
26163,2006,26,97
27003,2011,27,111
27003,2012,27,137
27003,2014,27,93
27003,2015,27,105
29189,2000,29,156
29189,2001,29,122
29189,2002,29,169
29189,2003,29,177
29189,2004,29,90
29189,2005,29,182
29510,2000,29,140
29510,2001,29,122
29510,2002,29,190
29510,2003,29,201
29510,2004,29,104
29510,2005,29,151
29510,2006,29,122
29510,2007,29,195
29510,2008,29,111
29510,2013,29,100
29510,2014,29,101
29510,2015,29,64
29510,2016,29,43
32003,2001,32,48
32003,2002,32,122
32003,2003,32,109
32031,2010,32,35
32031,2011,32,93
32031,2012,32,100
32031,2013,32,108
32031,2014,32,119
32031,2015,32,115
32031,2016,32,47
33011,2002,33,140
33011,2003,33,109
33011,2004,33,147
33011,2005,33,114
33011,2006,33,101
33011,2007,33,127
33011,2008,33,64
33011,2009,33,77
33011,2010,33,104
33015,2014,33,42
33015,2015,33,108
33015,2016,33,45
34007,2000,34,203
34007,2001,34,202
34007,2002,34,200
34007,2003,34,182
34007,2004,34,145
34007,2005,34,159
34007,2006,34,142
34007,2007,34,179
34007,2008,34,150
34007,2012,34,142
34007,2013,34,90
34007,2014,34,115
34007,2015,34,161
34013,2001,34,67
34013,2002,34,161
34013,2003,34,84
34013,2011,34,140
34013,2012,34,116
34013,2013,34,106
34013,2014,34,115
34013,2015,34,112
35001,2011,35,90
35001,2012,35,100
35001,2013,35,112
35001,2014,35,87
35001,2015,35,101
36005,2000,36,169
36005,2001,36,127
36005,2002,36,174
36005,2003,36,135
36005,2004,36,129
36005,2005,36,116
36005,2006,36,147
36005,2007,36,119
36005,2008,36,127
36005,2009,36,109
36005,2010,36,114
36005,2011,36,137
36005,2012,36,111
36005,2013,36,101
36005,2014,36,133
36005,2015,36,136
36005,2016,36,54
36055,2011,36,97
36081,2000,36,201
36081,2001,36,166
36081,2002,36,156
36081,2003,36,172
36081,2004,36,119
36081,2005,36,142
36081,2006,36,135
36081,2007,36,129
36081,2008,36,132
36081,2009,36,97
36081,2010,36,145
36081,2011,36,151
36081,2012,36,119
36081,2013,36,133
36081,2014,36,122
36081,2015,36,136
36081,2016,36,61
36101,2008,36,50
36101,2009,36,87
36101,2010,36,84
36101,2011,36,87
36103,2000,36,203
36103,2001,36,201
36103,2002,36,206
36103,2003,36,201
36103,2004,36,129
36103,2005,36,159
36103,2006,36,201
36103,2007,36,151
36103,2008,36,164
36103,2009,36,127
36103,2010,36,140
37067,2000,37,77
37067,2001,37,159
37067,2002,37,195
37067,2003,37,169
37067,2004,37,104
37119,2000,37,205
37119,2001,37,177
37119,2002,37,182
37119,2003,37,164
37119,2004,37,156
37119,2005,37,187
37119,2006,37,169
37119,2007,37,205
37119,2008,37,164
37119,2009,37,104
37119,2010,37,140
37119,2011,37,145
37119,2012,37,142
37119,2013,37,93
37119,2014,37,105
37119,2015,37,119
37119,2016,37,100
37183,2014,37,100
37183,2015,37,101
37183,2016,37,54
38017,2008,38,49
38017,2009,38,51
38017,2010,38,74
38017,2011,38,54
38017,2012,38,74
38017,2013,38,64
38017,2014,38,80
38017,2015,38,67
38017,2016,38,41
39009,2009,39,93
39035,2011,39,93
39035,2012,39,122
39035,2013,39,71
39035,2014,39,97
39035,2015,39,90
39035,2016,39,54
39061,2011,39,135
39061,2012,39,34
39061,2013,39,112
39061,2014,39,126
39061,2015,39,115
39061,2016,39,84
39103,2009,39,87
39103,2010,39,137
40001,2008,40,77
40001,2009,40,64
40001,2010,40,90
40001,2011,40,111
40001,2012,40,132
40001,2013,40,27
40021,2000,40,145
40021,2001,40,119
40021,2002,40,116
40021,2003,40,127
40021,2004,40,104
40021,2005,40,111
40021,2006,40,156
40021,2007,40,93
40021,2008,40,93
40021,2009,40,42
40071,2000,40,137
40071,2001,40,140
40071,2002,40,90
40071,2003,40,97
40071,2004,40,119
40109,2011,40,132
40109,2012,40,135
40109,2013,40,147
40109,2014,40,115
40109,2015,40,64
40115,2001,40,127
40115,2002,40,109
40115,2003,40,116
40115,2004,40,145
40115,2005,40,116
40143,2006,40,43
40143,2007,40,106
40143,2008,40,51
40143,2009,40,147
40143,2010,40,93
40143,2011,40,137
40143,2012,40,164
40143,2013,40,119
40143,2014,40,105
40143,2015,40,147
40143,2016,40,74
41051,2007,41,51
41051,2008,41,90
41051,2009,41,111
41051,2010,41,64
41051,2011,41,46
41051,2012,41,61
41051,2013,41,49
41051,2014,41,115
41051,2015,41,74
42001,2014,42,41
42001,2015,42,97
42001,2016,42,74
42003,2000,42,169
42003,2001,42,172
42003,2002,42,197
42003,2003,42,203
42003,2004,42,111
42003,2005,42,156
42003,2006,42,119
42003,2007,42,127
42003,2008,42,111
42003,2009,42,77
42003,2010,42,129
42003,2011,42,150
42003,2012,42,135
42003,2013,42,190
42003,2014,42,101
42007,2000,42,161
42007,2001,42,164
42007,2002,42,161
42007,2003,42,203
42007,2004,42,90
42007,2005,42,127
42007,2006,42,119
42007,2007,42,109
42007,2008,42,109
42011,2000,42,172
42011,2001,42,177
42011,2002,42,172
42011,2003,42,177
42011,2004,42,127
42011,2005,42,145
42011,2006,42,51
42011,2007,42,137
42011,2008,42,132
42011,2009,42,109
42011,2010,42,129
42011,2011,42,119
42011,2012,42,87
42011,2013,42,80
42011,2014,42,122
42013,2000,42,151
42013,2001,42,151
42013,2002,42,182
42013,2003,42,172
42013,2004,42,100
42013,2005,42,114
42013,2006,42,111
42013,2007,42,104
42013,2008,42,116
42017,2000,42,207
42017,2001,42,202
42017,2002,42,204
42017,2003,42,187
42017,2004,42,132
42017,2005,42,156
42017,2006,42,169
42017,2007,42,203
42017,2008,42,166
42017,2009,42,104
42017,2010,42,164
42017,2011,42,124
42017,2012,42,137
42017,2013,42,122
42017,2014,42,84
42021,2000,42,156
42021,2001,42,151
42021,2002,42,154
42021,2003,42,164
42021,2004,42,104
42021,2005,42,127
42021,2006,42,100
42021,2007,42,109
42021,2008,42,90
42021,2009,42,77
42021,2010,42,124
42021,2011,42,104
42021,2012,42,135
42021,2013,42,129
42021,2014,42,108
42021,2015,42,97
42021,2016,42,64
42043,2006,42,129
42043,2007,42,127
42043,2008,42,140
42049,2005,42,169
42049,2006,42,137
42049,2007,42,156
42049,2008,42,109
42049,2009,42,116
42049,2010,42,119
42049,2011,42,114
42049,2012,42,159
42049,2013,42,100
42049,2014,42,101
42049,2015,42,115
42049,2016,42,50
42069,2000,42,159
42069,2001,42,137
42069,2002,42,177
42069,2003,42,147
42069,2004,42,111
42069,2005,42,135
42069,2006,42,111
42069,2007,42,114
42069,2008,42,147
42071,2000,42,177
42071,2001,42,174
42071,2002,42,202
42071,2003,42,203
42071,2004,42,156
42071,2005,42,151
42071,2006,42,145
42071,2007,42,142
42071,2008,42,119
42073,2000,42,100
42073,2001,42,142
42073,2002,42,154
42073,2003,42,203
42073,2004,42,106
42073,2005,42,129
42073,2006,42,109
42073,2007,42,101
42073,2008,42,119
42079,2006,42,116
42079,2007,42,111
42079,2008,42,140
42091,2000,42,207
42091,2001,42,190
42091,2002,42,169
42091,2003,42,179
42091,2004,42,124
42091,2005,42,145
42091,2006,42,135
42091,2007,42,140
42091,2008,42,151
42095,2000,42,201
42095,2001,42,174
42095,2002,42,177
42095,2003,42,182
42095,2004,42,174
42095,2005,42,135
42095,2006,42,151
42095,2007,42,145
42095,2008,42,147
42101,2000,42,140
42101,2001,42,106
42101,2002,42,122
42101,2003,42,142
42101,2004,42,64
42101,2005,42,114
42101,2006,42,90
42101,2007,42,147
42101,2008,42,97
42101,2009,42,90
42101,2010,42,127
42101,2011,42,90
42101,2012,42,74
42101,2013,42,61
42101,2014,42,90
42125,2000,42,169
42125,2001,42,137
42125,2002,42,182
42125,2003,42,179
42125,2004,42,111
42125,2005,42,135
42125,2006,42,124
42125,2007,42,122
42125,2008,42,111
42125,2009,42,80
42125,2010,42,129
42125,2011,42,87
42125,2012,42,116
42125,2013,42,140
42125,2014,42,100
42125,2015,42,115
42129,2000,42,145
42129,2001,42,150
42129,2002,42,179
42129,2003,42,187
42129,2004,42,122
42129,2005,42,135
42129,2006,42,127
42129,2007,42,124
42129,2008,42,116
42133,2000,42,177
42133,2001,42,145
42133,2002,42,177
42133,2003,42,179
42133,2004,42,127
42133,2005,42,154
42133,2006,42,122
42133,2007,42,140
42133,2008,42,151
42133,2009,42,101
42133,2010,42,132
42133,2011,42,122
42133,2012,42,132
42133,2013,42,100
42133,2014,42,87
42133,2015,42,108
42133,2016,42,64
44007,2011,44,106
44007,2012,44,142
44007,2013,44,150
