O3_AQI,id,State_Code
71.0,6093,6
127.0,6095,6
127.0,6097,6
127.0,6099,6
127.0,6101,6
127.0,6103,6
127.0,6105,6
127.0,6107,6
127.0,6109,6
127.0,6111,6
90.0,6113,6
90.0,6115,6
90.0,8000,8
140.0,8001,8
140.0,8003,8
140.0,8005,8
140.0,8007,8
140.0,8009,8
140.0,8011,8
140.0,8013,8
140.0,8014,8
140.0,8015,8
140.0,8017,8
140.0,8019,8
140.0,8021,8
140.0,8023,8
140.0,8025,8
140.0,8027,8
140.0,8029,8
127.0,8031,8
127.0,8033,8
127.0,8035,8
127.0,8037,8
127.0,8039,8
127.0,8041,8
127.0,8043,8
127.0,8045,8
127.0,8047,8
127.0,8049,8
127.0,8051,8
127.0,8053,8
127.0,8055,8
97.0,8057,8
97.0,8059,8
97.0,8061,8
97.0,8063,8
97.0,8065,8
97.0,8067,8
97.0,8069,8
97.0,8071,8
97.0,8073,8
97.0,8075,8
97.0,8077,8
97.0,8079,8
97.0,8081,8
97.0,8083,8
97.0,8085,8
97.0,8087,8
97.0,8089,8
97.0,8091,8
97.0,8093,8
97.0,8095,8
97.0,8097,8
97.0,8099,8
97.0,8101,8
97.0,8103,8
97.0,8105,8
97.0,8107,8
97.0,8109,8
97.0,8111,8
97.0,8113,8
97.0,8115,8
97.0,8117,8
97.0,8119,8
97.0,8121,8
97.0,8123,8
97.0,8125,8
97.0,9000,9
169.0,9001,9
179.0,9003,9
147.0,9005,9
147.0,9007,9
169.0,9009,9
169.0,9011,9
169.0,9013,9
169.0,9015,9
169.0,10000,10
169.0,10001,10
143.0,10003,10
143.0,10005,10
143.0,11000,11
206.0,11001,11
206.0,12000,12
206.0,12001,12
206.0,12003,12
206.0,12005,12
206.0,12007,12
206.0,12009,12
206.0,12011,12
206.0,12013,12
206.0,12015,12
206.0,12017,12
206.0,12019,12
206.0,12021,12
206.0,12023,12
206.0,12027,12
206.0,12029,12
206.0,12031,12
206.0,12033,12
206.0,12035,12
206.0,12037,12
206.0,12039,12
206.0,12041,12
206.0,12043,12
206.0,12045,12
206.0,12047,12
206.0,12049,12
206.0,12051,12
206.0,12053,12
206.0,12055,12
122.0,12057,12
122.0,12059,12
122.0,12061,12
122.0,12063,12
122.0,12065,12
122.0,12067,12
122.0,12069,12
122.0,12071,12
122.0,12073,12
122.0,12075,12
122.0,12077,12
122.0,12079,12
122.0,12081,12
122.0,12083,12
122.0,12085,12
122.0,12086,12
122.0,12087,12
122.0,12089,12
122.0,12091,12
122.0,12093,12
150.0,12095,12
150.0,12097,12
150.0,12099,12
150.0,12101,12
150.0,12103,12
150.0,12105,12
150.0,12107,12
150.0,12109,12
150.0,12111,12
150.0,12113,12
150.0,12115,12
150.0,12117,12
150.0,12119,12
150.0,12121,12
150.0,12123,12
150.0,12125,12
150.0,12127,12
150.0,12129,12
150.0,12131,12
150.0,12133,12
150.0,13000,13
150.0,13001,13
150.0,13003,13
150.0,13005,13
150.0,13007,13
150.0,13009,13
150.0,13011,13
150.0,13013,13
150.0,13015,13
150.0,13017,13
150.0,13019,13
150.0,13021,13
150.0,13023,13
150.0,13025,13
150.0,13027,13
150.0,13029,13
150.0,13031,13
150.0,13033,13
150.0,13035,13
150.0,13037,13
150.0,13039,13
150.0,13043,13
150.0,13045,13
150.0,13047,13
150.0,13049,13
150.0,13051,13
150.0,13053,13
150.0,13055,13
150.0,13057,13
150.0,13059,13
150.0,13061,13
150.0,13063,13
150.0,13065,13
150.0,13067,13
150.0,13069,13
150.0,13071,13
150.0,13073,13
150.0,13075,13
150.0,13077,13
150.0,13079,13
150.0,13081,13
150.0,13083,13
150.0,13085,13
150.0,13087,13
159.0,13089,13
159.0,13091,13
159.0,13093,13
159.0,13095,13
159.0,13097,13
159.0,13099,13
159.0,13101,13
159.0,13103,13
159.0,13105,13
159.0,13107,13
159.0,13109,13
159.0,13111,13
159.0,13113,13
159.0,13115,13
159.0,13117,13
159.0,13119,13
159.0,13121,13
159.0,13123,13
159.0,13125,13
159.0,13127,13
159.0,13129,13
159.0,13131,13
159.0,13133,13
159.0,13135,13
159.0,13137,13
159.0,13139,13
159.0,13141,13
159.0,13143,13
159.0,13145,13
159.0,13147,13
159.0,13149,13
159.0,13151,13
159.0,13153,13
159.0,13155,13
159.0,13157,13
159.0,13159,13
159.0,13161,13
159.0,13163,13
159.0,13165,13
159.0,13167,13
159.0,13169,13
159.0,13171,13
159.0,13173,13
159.0,13175,13
159.0,13177,13
159.0,13179,13
159.0,13181,13
159.0,13183,13
159.0,13185,13
159.0,13187,13
159.0,13189,13
159.0,13191,13
159.0,13193,13
159.0,13195,13
159.0,13197,13
159.0,13199,13
159.0,13201,13
159.0,13205,13
159.0,13207,13
159.0,13209,13
159.0,13211,13
159.0,13213,13
159.0,13215,13
159.0,13217,13
159.0,13219,13
159.0,13221,13
159.0,13223,13
159.0,13225,13
159.0,13227,13
159.0,13229,13
159.0,13231,13
159.0,13233,13
159.0,13235,13
159.0,13237,13
159.0,13239,13
159.0,13241,13
159.0,13243,13
159.0,13245,13
159.0,13247,13
159.0,13249,13
159.0,13251,13
